roomCapturePointId,modelRoomId,userCapturePointId,xMeters,currentY,zMeters,targetY,yOffset,hasCaptures,captureCount
3f179c51-976f-474a-bf71-57b2f9945462,7dddabf9-3538-4e5e-8730-105919594ff2,PH2-L00-MB CICO ROOM 3 - Default Point,64.988,50.4,-9.015,0.0,-50.4,yes,5
bea1e8b3-cffd-4edc-921c-4a15c36f22e4,6e4018a1-c8d2-4497-9cf2-c046bc4b6d79,PH1-L00-FOH MEETING ROOM 1 - Default Point,73.481,50.4,7.241,0.0,-50.4,yes,44
34c97918-3289-4623-be01-7d3d3aab9d20,74db3e39-4e14-4d19-bf80-0c1ee054d9af,PH2-L00-MB SPRINKLER VALVE ROOM 02 - Default Point,59.232,50.4,-49.679,0.0,-50.4,yes,49
2aa9734d-2cf6-4168-aa49-781da078e19f,92b6e099-c44c-4c16-9c36-fe7657eae108,PH2-L00-MB CORRIDOR K.2 - Default Point,105.747,50.4,-37.313,0.0,-50.4,yes,49
ea69d455-c33b-41a1-9b54-80ad3c6e34e1,83098f09-5e54-4e5a-a9b6-26e13dfff521,PH1-L00-FOH CORRIDOR 125 - Default Point,93.075,50.4,1.342,0.0,-50.4,yes,1
39d7e937-31f3-4ad6-9e62-9466a4005e86,eeb34c16-eaab-4eed-944a-b84d5b0be5c2,PH1-L00-MB BBU STORAGE D - Default Point,50.962,50.4,-13.609,0.0,-50.4,yes,13
1ad7068c-006b-4319-ace8-9435d0576792,fa49dcc4-fa15-44ed-bc4a-e7b5b1bc00f3,PH1-L00-FOH STAIRS NORTH 2A - Default Point,66.998,50.4,-1.111,0.0,-50.4,no(empty),0
c563afab-4803-42fc-852a-6dc80e48ab91,3e40d4ac-8115-4ff1-9174-a567b94c8f29,PH1-L00-MB FIBRE ENTRY ROOM 4 - Default Point,105.106,50.4,-2.424,0.0,-50.4,yes,35
80426fc9-d9e0-498e-8368-7cc86219d65a,aaa291fc-0056-45bf-9ed2-c85ab0f83b85,PH1-L00-FOH CORRIDOR 122 - Default Point,47.575,50.4,1.758,0.0,-50.4,yes,47
0aa81db3-8959-4d31-9832-fdba8f2a95a9,4cb8d09a-df9a-4430-848a-5614102e2168,PH1-L00-FOH CUSTOMER AVAILABLE SPACE 01 - Default Point,47.96,50.4,5.866,0.0,-50.4,yes,43
4f5bf187-6bef-48c0-95d6-2dbbf485dbed,01c84724-3122-4c68-aa9d-2f7810c76bd5,PH2-L00-MB WATER PUMP ROOM 02 - Default Point,109.267,50.4,-48.681,0.0,-50.4,yes,23
5d2f3c79-6663-41e3-8dc7-22da84e7ed0e,ee13845b-fa0c-453a-876d-d353e5cdd241,PH2-L00-MB PRIMARY COP_H - Default Point,59.226,50.4,-15.126,0.0,-50.4,yes,46
37baec5e-97df-4fd7-b0f8-fea32d50add5,47211170-efb6-4d47-99cb-1e169789f54d,PH1-L00-FOH SECURITY ROOM 2 - Default Point,80.412,50.4,7.406,0.0,-50.4,yes,33
48f91486-ec3e-4b68-bca9-9aebf2b83a88,50ae9073-c61b-42d8-bbee-7ba23e66178a,PH1-L00-FOH CHANGING ROOM MALE - Default Point,31.469,50.4,-2.305,0.0,-50.4,no(empty),0
06d890b3-7346-4dcf-840b-39db05bcc445,969edf32-3a5d-4606-af4e-0fcafa5c46be,PH1-L00-FOH VESTIBULE - Default Point,93.224,50.4,8.444,0.0,-50.4,no(empty),0
0f2c6821-a8d2-48e5-9c59-67023a2029e1,bbff133c-ff87-4135-a245-6319b6d62a04,PH2-L00-MB CENTRAL CORRIDOR WEST - Default Point,82.981,50.4,-24.537,0.0,-50.4,yes,8
d408b55f-9e91-4ecf-a40b-74208232e81f,d61e84e5-b702-48bb-9463-3be2652969d5,PH2-L00-MB CORRIDOR K.1 - Default Point,101.773,50.4,-6.159,0.0,-50.4,yes,51
43f3a481-1721-4624-bc43-4986b88cbf7b,411d02ef-cdba-467d-b349-e7a79382c6e8,PH1-L00-FOH WC MALE - Default Point,55.228,50.4,-0.488,0.0,-50.4,no(empty),0
00d2e98f-b236-430f-9973-f28aab20c13d,9e708f16-ccd9-452f-83aa-c43a1eff043c,PH1-L00-FOH GOODS MANTRAP - Default Point,38.774,50.4,5.646,0.0,-50.4,no(empty),0
9bbc0cea-415f-49e2-b0e5-48baf9f6655e,32d88952-915b-47bf-ba34-aa79b167d3f3,PH2-L00-MB CORRIDOR H.2 - Default Point,62.291,50.4,-41.424,0.0,-50.4,yes,51
3be306d5-237c-4cd1-9043-04b04d437850,56239033-3c51-4e04-b3f4-1b8c2f728523,PH2-L00-MB SECONDARY COP_K - Default Point,108.98,50.4,-37.107,0.0,-50.4,yes,49
187421b1-6769-4897-97b2-eac4a2196f97,be2216aa-516d-4257-aef6-86910ec45d13,PH1-L00-MB NETWORK ENTRY 2 - Default Point,98.503,50.4,-1.725,0.0,-50.4,yes,33
888b7942-34d7-414e-9579-21220d31ef6a,8cf97011-1ef9-4c26-86ff-8572e99a1186,PH1-L00-MB EWALL TRANSFORMER  A - Default Point,1.951,50.4,-38.115,0.0,-50.4,yes,5
49293340-80fb-41b7-ad73-92e92e8e2800,71e7aeac-5363-4ca9-b069-77fac8e7308c,PH2-L00-MB FIBRE ENTRY ROOM 03 - Default Point,59.449,50.4,-44.977,0.0,-50.4,yes,22
9ed136e2-3104-4cf3-a59e-e78720485257,872ab70f-bac3-45c7-9368-c5bc40a23353,PH1-L00-MB CATCHER TRANSFORMER R1 - Default Point,9.257,50.4,-53.07,0.0,-50.4,yes,5
c304c4f8-4215-496f-a4dd-531f8f240f94,31648df0-f0c6-45d1-a13d-55e6a5493462,PH1-L00-FOH WC 2 - Default Point,86.587,50.4,-2.609,0.0,-50.4,yes,1
47a1f3c3-9497-45cf-9f11-cddd395e44b3,d1101a30-7f6d-478a-8027-550e1f92b7d2,PH1-L00-FOH CUSTOMER AVAILABLE SPACE 03 - Default Point,66.855,50.4,7.259,0.0,-50.4,yes,46
9ca87b9f-8e3d-4d03-a109-01d7bbdd7eae,d959bf30-5de6-445b-995e-744a5b4c61cc,PH1-L00-FOH CUSTOMER AVAILABLE SPACE 02 - Default Point,62.379,50.4,3.123,0.0,-50.4,yes,48
f8adf9dc-d156-428a-9040-d35df7359d14,17b565fa-cddf-4f9b-bc32-b53f7a155bbe,PH2-L00-MB CICO ROOM 4 - Default Point,103.406,50.4,-9.228,0.0,-50.4,yes,3
4872a1d7-afa9-4be5-9698-74b316f6da02,fc41ab4e-2a2c-4caa-8ef5-d80ff199bb26,PH1-L00-FOH WC 01 - Default Point,41.593,50.4,7.164,0.0,-50.4,no(empty),0
620b55ec-604a-41eb-9d7d-321088296da9,87f9b747-58f4-403e-9d2c-62744237f7e8,PH1-L00-FOH STAIRS NORTH 1A - Default Point,19.805,50.4,-1.99,0.0,-50.4,no(empty),0
8f45fa98-3946-463f-af92-10bc7b256fb3,f4fd1f66-e69b-4d7e-9f7e-e07b6051564e,PH1-L00-MB MSB_A - Default Point,1.725,50.4,-24.424,0.0,-50.4,yes,24
08d3ca9d-9b47-414a-9b33-3217c8b9e99c,473033e5-ee98-442b-bd4e-ac34aa8252f4,PH2-L00-MB DATAHALL 2.2 - Default Point,96.144,50.4,-37.313,0.0,-50.4,no(empty),0
50754207-08ca-4251-b3c1-1bb02f73931e,43b79df3-5380-4cda-b6e4-11e5abbbc93c,PH1-L00-FOH GOODS LIFT 02 - Default Point,39.027,50.4,-2.549,0.0,-50.4,no(empty),0
