itemId,itemType,userItemId,itemName,parentItemId,parentPresent
3adc23e7-ba50-441f-9b06-a1d04fedc3c3,Activity,OFCI-TRA-1120,Delivery of Mech Transformers - MYD3 (13nr.),298cf454-4aec-42ea-a32b-3cee857acbbf,yes
3b519d3f-2d86-4687-b239-9a596f990d89,Activity,MI-CON-1250,Site Parking/Signage Complete,4570a7c0-5fbe-45ac-8536-1050ddb23cfc,yes
3b5a6aa5-873c-4e29-96c2-0ccc9379ff9a,Activity,OFCI-TES-1000,Delivery of TES Tanks - MYD1 (3nr.),1ecce4f2-cc2a-4bfe-ac14-5d7325d04284,yes
3c668cef-fb14-40a1-9618-a35926f4050a,Activity,MI-CON-1000,Mobilization,740cb0f1-d536-4a17-adf3-d9b03ddd016c,yes
3cf0e48a-223d-424f-bcab-9914a4ed3aec,Activity,PER-1030,Building Permit - Core & Shell (Inc Underground Slab Utiilties),2f6bb2d9-b1b4-4e68-8c74-fb2ccfe24e94,yes
3d13e8d0-0d06-48a9-8b30-1e2aa0b4eab3,Activity,CS-STL-R-1020,Structural Steel - Area R - Roof Framing,623818e7-be5a-46f4-a1f5-2319662ac2b3,yes
3db77740-dac5-4c17-8874-cdedfce5a902,Activity,MI-1010,Precast Concrete,f4a35525-523a-424f-a294-3069f5bd1436,yes
3dc6a668-88e1-4b9f-a245-a73570f293a8,Activity,MI-CON-1380,Substation AUS101 - Temporary Construction & Commissioning Power,0bb6d51f-e81e-44f2-937f-0caed0b53dbf,yes
3e5329e3-2eda-4a9c-81a5-adf5490239e1,Activity,CS-PAD-P-1060,Building Pad Concrete - Area P - Grade Beams,2040903a-0de4-4f9d-af7e-c87020d365d2,yes
3e713b93-1d80-4efb-9a7b-b2ee4b54a580,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6.1.2.6.16,Area O,0194d2ec-7c1a-439d-9328-06dd55d7c06d,yes
3f15df60-e784-4908-a253-6155c9a62972,Activity,OFCI-CDU-3040,Delivery of CDUs - #97 - 112 (16nr.),11ba89ad-7ef7-4f0c-afee-af572619b3b1,yes
3f5ee8bd-c9de-4f02-af24-2052abcf1b08,Activity,CS-PAD-M-1010,Building Pad - FRAG - Zone 4 - RFI#1 - 3' x 5' Rock Import,5903bfb6-fcc3-4d38-8356-a38b917cff99,yes
3fbcfdf5-a088-4702-b3d1-edcc9a924588,Activity,OFCI-FCA-1010,Delivery of FCAs - #25 - 48 (24nr.),1e01a591-6129-485a-a553-0c62d7df6bae,yes
4087c34f-fbd1-4ad9-a531-1e70e08f5c79,Activity,CS-DOOR-S-1000,Exterior Doors - South - Install Final Doors - 4nr.,4f792bb5-4e22-4963-ac6e-471b2e9e9879,yes
40d6f2f5-490d-473f-b7af-bad314f12c12,Activity,CS-PNT-1150,Precast Wall - Paint and Finish - Area D - Paint & Finish to Precast Walls,183a84d7-0382-469e-bb68-83350744017b,yes
4108ae49-6b64-42d2-8380-9bb231116e48,Activity,CIV-MV-1090,Medium Voltage - Install Ductbanks - 3B & 3R (1100ft per line),8e0fe0c3-937b-4036-a1f5-66dffc6bff79,yes
4133da65-c849-4594-b578-0644d0b98fdc,Activity,CS-STL-O-1020,Structural Steel - Area O - Roof Framing,7f853545-2489-48f8-88bb-4d1f2661726f,yes
418197b5-c6f3-4e58-92c5-d22f7ac1028d,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.4.6.1.2.4.6.15,Area O,13023c24-2aca-4b2a-bf18-79fa4be7c76f,yes
419c3405-fd92-439a-a2f7-841f03f58869,Activity,MI-1130,Metal Wall Panels,45992aec-2219-4aeb-8bca-3a38aea51a3f,yes
41e96ce1-1d57-4bca-b929-693d9dc414c7,Activity,CS-PAD-K-1050,Building Pad - Zone 3 Underslab Utilities - Wet,dafad857-fedc-4eac-9944-8383e7da8130,yes
4217b034-cca3-40f6-8e0a-4f3a46c1affd,Activity,CS-PNT-1040,Precast Wall - Paint and Finish - Area K - Paint & Finish to Precast Walls,183a84d7-0382-469e-bb68-83350744017b,yes
4233cf9c-8cb9-44b8-bfd2-df6feaeb078e,Activity,OFCI-FCA-1050,Delivery of FCAs - #1 - 35 (35nr.),1e01a591-6129-485a-a553-0c62d7df6bae,yes
428f8f37-2485-4f9e-8a22-5f829920002b,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.3,Building Pad ,a673c5f2-f51f-4dbd-a7aa-cd5218b12ab5,NO
429499c8-ca16-4cbb-9864-8b15a5dea919,Activity,CS-ROOF-P-1020,Roofing - Area P - Composite Insulation,ff62b231-d8b5-4d44-bb44-5e1e6c8d2f9c,yes
42eedb11-48cd-472e-8bef-b00d9270211f,Activity,PER-1040,Building Permit - TI,2f6bb2d9-b1b4-4e68-8c74-fb2ccfe24e94,yes
4347fa65-6e0a-48c5-b707-d399ad862a79,Activity,MI-CON-1340,Building Dry In - Server Hall 7 (Areas Q - R),740cb0f1-d536-4a17-adf3-d9b03ddd016c,yes
434a0d7b-d608-47f0-9954-6bcf47478658,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.4.1.2.4.1,Wet Utilities,10b7613d-2646-4ca7-ba23-6d097a9485d9,yes
4357ef13-95d3-49bf-b217-2f6f8af21ac7,Activity,CS-ROOF-Q-1000,Roofing - Area Q - Vapor Retarder,c1c05231-0682-4495-8413-9db558e24339,yes
4366b934-1fa6-479b-a06e-934f9ca39fff,Activity,CS-PAD-Q-1010,Building Pad - FRAG - Zone 5 - RFI#1 - 3' x 5' Rock Import,ea8c6245-c4c4-4cc5-99ee-e2caf537592e,yes
43a86178-5f95-4780-bb5c-7e38edcd6cc2,Activity,CS-ROOF-A-1010,Roofing - Area A - Intermediate Ply,704cf504-85fa-468a-ae3c-a94c52d981fa,yes
43e7d33e-89ae-4d42-ac5f-5d7ccc8a6c15,WBS,AUS02-60-Schedule-L1-.1.1.1.1.1.3,Budgeting & Price Modeling,94cce902-c576-4149-a03b-5b0f2fbf8a61,NO
